time,x,y,theta_rad,ps0,ps7,ps5,ps2,ps1,ps3,ps4,ps6,z_k_raw,d_k_kalman,estado
2.944,0.0118,-0.0605,-2.1787,64.79178938318461,68.13487056538186,70.83742439793207,78.149732965701,107.33633435436298,67.96307797919398,67.94959130453194,61.605275333483085,66.46,68.14,AVANZANDO_RECTO
2.976,0.0107,-0.0621,-2.1787,63.60838699323437,64.98553436669727,68.1182819047581,69.43613864861476,105.02070887899713,63.946906037698284,71.89345474580362,58.248559176850485,64.3,67.84,AVANZANDO_RECTO
3.008,0.0096,-0.0637,-2.1762,68.32764581326215,66.86874069966451,60.77400632088593,65.2244668801733,104.31806154541275,73.33066130052421,65.65782305067998,70.20277284831322,67.6,67.82,AVANZANDO_RECTO
3.04,0.0085,-0.0653,-2.1787,69.04186430802119,68.13464477872323,74.41874090009141,70.23242410496366,112.73527005411053,67.73817970256371,63.1111224960643,63.104598852534465,68.59,67.87,AVANZANDO_RECTO
3.072,0.0074,-0.0669,-2.1787,67.24590520971445,65.31357526605306,74.1468400504248,62.555125992489415,114.1627653752824,66.86326960300892,70.30292868779102,71.5671377573753,66.28,67.75,AVANZANDO_RECTO
3.104,0.0063,-0.0685,-2.1787,68.61769208373626,65.43536554679173,64.58684544893144,68.1357089264743,116.39702079391958,63.06793836523535,64.62605579784494,64.97967507507182,67.03,67.69,AVANZANDO_RECTO
3.136,0.0051,-0.0702,-2.1762,70.93692358233122,69.45940684726948,70.56242970281671,71.31679216559573,134.26988485671757,67.14709833969734,64.19480357905546,69.54808073862633,70.2,67.88,AVANZANDO_RECTO
3.168,0.004,-0.0718,-2.1787,66.77777676183692,67.78800136060256,69.3708056480975,84.77516963135497,136.32018884225957,67.0227857923605,67.94650355290216,72.65574184302338,67.28,67.83,AVANZANDO_RECTO
3.2,0.0029,-0.0734,-2.1787,68.28215426354151,65.0828052920554,63.780548629811825,92.26403888276214,143.45689065275738,58.749690399530145,70.31343445291611,66.97773988799433,66.68,67.74,AVANZANDO_RECTO
3.232,0.0017,-0.075,-2.1762,73.94233252468666,64.59724591642353,63.153833731525566,99.04959064031966,163.69956227427235,72.09383605739302,70.49643758277317,66.71182513746172,69.27,67.86,EVADIENDO_IZQ
3.264,0.0017,-0.075,-2.1168,72.18310041440203,61.25514033199267,74.90933664330512,106.80490760351752,167.3082257174892,69.3317645628427,67.65633414483378,62.98024378756488,66.72,67.77,EVADIENDO_IZQ
3.296,0.0017,-0.075,-2.0574,63.40853302708742,71.70354758576525,63.9106438011839,109.71602546775823,163.91057762437106,65.4365181474071,72.37687085580008,62.58694112769064,67.56,67.75,EVADIENDO_IZQ
3.328,0.0017,-0.075,-1.9979,66.27691178995171,61.18951271311178,69.64452355135332,113.62025826025193,164.9753601213966,65.41423363837292,64.67079162080555,59.813469828690046,63.73,67.44,EVADIENDO_IZQ
3.36,0.0018,-0.075,-1.9361,72.57355003383458,68.91105445623941,66.09515406838737,113.17848181448726,155.20104573444976,69.45327874321785,65.4205484827168,60.53711941237126,70.74,67.7,EVADIENDO_IZQ
3.392,0.0017,-0.075,-1.8742,63.687271205889544,68.48034660179016,64.51166753350303,114.54111063645787,145.4744823712084,64.50075522274518,64.68856967485128,67.44977058151771,66.08,67.57,AVANZANDO_RECTO
3.424,0.0012,-0.0769,-1.8742,71.26187474482774,66.56617508238577,65.42105337731037,109.6945835073604,151.3668630640598,65.47453761619605,66.77160628588945,67.19368215737953,68.91,67.67,EVADIENDO_IZQ
3.456,0.0012,-0.0769,-1.8147,65.73584105574949,63.59222379844891,67.653736944435,107.04359605763901,129.04644413389653,69.80570741217716,66.34550113621525,63.72385944537837,64.66,67.44,AVANZANDO_RECTO
3.488,0.0007,-0.0787,-1.8147,59.12470032948986,68.60213728051767,63.27599320047514,106.5892632263019,135.1197170695242,73.76808465838059,70.59951811170009,61.23253077903188,63.86,67.16,AVANZANDO_RECTO
3.52,0.0002,-0.0807,-1.8147,64.18905035798535,64.43814800314732,63.252471888298786,98.11123513162906,139.78407596161975,66.22866936590364,68.61091603913124,64.8805947021074,64.31,66.93,AVANZANDO_RECTO
3.552,-0.0003,-0.0826,-1.8147,74.03503872046595,63.23630220348764,60.83043553544686,95.48973122681099,131.29029508796384,67.4436521144929,67.88552069996148,65.6916351001597,68.64,67.06,AVANZANDO_RECTO
3.584,-0.0007,-0.0845,-1.8147,68.04586081768818,62.14592013976451,67.8168705217279,86.6194478754518,136.08427431397047,69.70202338421646,64.62473702306782,63.887511063412404,65.1,66.91,AVANZANDO_RECTO
3.616,-0.0012,-0.0864,-1.8172,67.19207135257955,66.52364421107322,65.2015556460142,82.83613461617428,125.94193257838154,66.77653159301687,73.46112803892278,61.76147059767888,66.86,66.9,AVANZANDO_RECTO
3.648,-0.0017,-0.0884,-1.8147,68.30417592445228,64.78014830045096,66.25950214151429,100.59035387640104,126.12601501036727,66.9164651647123,69.2014841202903,64.26247503673049,66.54,66.87,AVANZANDO_RECTO
3.68,-0.0022,-0.0902,-1.8147,63.338577243608135,65.17984980582003,70.85438820024798,114.72171433729164,115.30161163592837,67.90038348999916,65.94946290336426,65.01430569018534,64.26,66.67,AVANZANDO_RECTO
3.712,-0.0026,-0.0921,-1.8147,67.06090920549175,72.90083826916285,65.10676544752704,122.03922287748972,113.61768171282664,69.03776923967735,60.96954367925721,70.61821688658934,69.98,66.92,AVANZANDO_RECTO
3.744,-0.0031,-0.0941,-1.8147,66.95661287858161,65.87062418596994,64.08754897734067,130.7525493031497,114.36374227242985,66.87026185856749,69.27087567447289,64.76464769218838,66.41,66.88,AVANZANDO_RECTO
3.776,-0.0036,-0.096,-1.8147,68.89152251938246,70.6158134628446,64.8327831737212,148.4810110405164,102.03826855031416,65.04806600779155,64.65237221568191,73.06961253713467,69.75,67.11,AVANZANDO_RECTO
3.808,-0.0041,-0.0978,-1.8147,70.01713705767929,68.02405915331768,69.83208151817946,155.1918541866909,111.57134710492322,67.94371504031358,62.4558847484987,72.79971001562903,69.02,67.25,EVADIENDO_IZQ
